dataset,neuron,mean,cov,mean_std,cov_std,mean_0,mean_1,mean_2,mean_3,mean_4,cov_0,cov_1,cov_2,cov_3,cov_4,single_trial_correlation,cell_id
,,[-0.05 -0.25],"[[-0.01  0.04]
 [ 0.    0.06]]",[0.71 0.7 ],"[[0.03 0.05]
 [0.03 0.09]]",[ 0.62 -1.  ],[-0.97  0.81],[-0.32 -0.26],[ 0.91 -0.99],[-0.51  0.19],"[[-0.01 -0.  ]
 [-0.    0.  ]]","[[-0.06  0.08]
 [-0.04  0.05]]","[[0.01 0.01]
 [0.01 0.  ]]","[[0.02 0.12]
 [0.05 0.24]]","[[-0.   -0.  ]
 [ 0.01 -0.  ]]",,
,,[ 0.18 -0.2 ],"[[-0.01  0.05]
 [-0.01  0.03]]",[0.71 0.72],"[[0.07 0.12]
 [0.04 0.05]]",[ 1. -1.],[-0.98  0.86],[ 0.13 -0.16],[ 0.85 -0.98],[-0.07  0.28],"[[ 0.01 -0.  ]
 [-0.01  0.  ]]","[[-0.12 -0.  ]
 [ 0.04  0.  ]]","[[-0.   -0.01]
 [ 0.    0.  ]]","[[ 0.09  0.29]
 [-0.07  0.12]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[ 0.05 -0.2 ],"[[-0.01 -0.03]
 [-0.02 -0.03]]",[0.71 0.72],"[[0.07 0.04]
 [0.03 0.09]]",[ 0.81 -1.  ],[-0.98  0.88],[-0.14 -0.13],[ 0.88 -0.98],[-0.32  0.24],"[[0.01 0.01]
 [0.   0.  ]]","[[ 0.07 -0.08]
 [-0.07  0.04]]","[[ 0.01  0.  ]
 [ 0.01 -0.01]]","[[-0.14 -0.09]
 [-0.06 -0.21]]","[[ 0. -0.]
 [-0. -0.]]",,
,,[-0.11 -0.24],"[[ 0.05 -0.02]
 [ 0.03 -0.01]]",[0.72 0.72],"[[0.06 0.02]
 [0.05 0.02]]",[ 0.57 -1.  ],[-0.98  0.89],[-0.4  -0.28],[ 0.89 -0.99],[-0.61  0.17],"[[ 0. -0.]
 [-0.  0.]]","[[ 0.1  -0.03]
 [ 0.11  0.01]]","[[ 0.    0.01]
 [-0.   -0.01]]","[[ 0.15 -0.06]
 [ 0.07 -0.04]]","[[ 0.01 -0.  ]
 [-0.    0.  ]]",,
,,[-0.16 -0.25],"[[ 0.05 -0.01]
 [ 0.07 -0.03]]",[0.72 0.72],"[[0.08 0.01]
 [0.11 0.02]]",[ 0.45 -1.  ],[-0.99  0.9 ],[-0.48 -0.3 ],[ 0.91 -0.99],[-0.7   0.14],"[[ 0.    0.01]
 [ 0.01 -0.01]]","[[ 0.04 -0.02]
 [ 0.05 -0.06]]","[[-0.01 -0.01]
 [ 0.01  0.  ]]","[[ 0.2  -0.01]
 [ 0.29 -0.04]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]",,
,,[ 0.08 -0.22],"[[-0.02 -0.03]
 [ 0.01  0.03]]",[0.76 0.73],"[[0.09 0.03]
 [0.03 0.05]]",[ 0.99 -1.  ],[-0.98  0.89],[-0.17 -0.22],[ 0.9  -0.99],[-0.34  0.23],"[[ 0.    0.01]
 [-0.02 -0.01]]","[[ 0.08 -0.07]
 [-0.02  0.03]]","[[-0.01  0.  ]
 [ 0.01 -0.01]]","[[-0.19 -0.06]
 [ 0.07  0.13]]","[[-0.  0.]
 [-0. -0.]]",,
,,[ 0.   -0.24],"[[0.02 0.01]
 [0.03 0.01]]",[0.7 0.7],"[[0.03 0.06]
 [0.05 0.07]]",[ 0.74 -1.  ],[-0.96  0.8 ],[-0.23 -0.24],[ 0.87 -0.98],[-0.42  0.22],"[[ 0.    0.  ]
 [ 0.01 -0.01]]","[[ 0.02 -0.06]
 [ 0.12 -0.07]]","[[ 0.01 -0.  ]
 [ 0.    0.  ]]","[[0.07 0.12]
 [0.02 0.14]]","[[-0.    0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.12 -0.21],"[[-0.03 -0.03]
 [-0.02  0.04]]",[0.73 0.72],"[[0.03 0.04]
 [0.04 0.05]]",[ 1. -1.],[-0.98  0.87],[-0.04 -0.19],[ 0.86 -0.98],[-0.22  0.25],"[[0.   0.  ]
 [0.   0.01]]","[[-0.08 -0.07]
 [ 0.    0.11]]","[[-0.01 -0.  ]
 [ 0.    0.  ]]","[[-0.05 -0.08]
 [-0.1   0.09]]","[[ 0.  0.]
 [ 0. -0.]]",,
,,[ 0.18 -0.2 ],"[[ 0.08  0.05]
 [ 0.02 -0.05]]",[0.71 0.73],"[[0.12 0.13]
 [0.03 0.09]]",[ 1. -1.],[-0.98  0.87],[ 0.13 -0.16],[ 0.84 -0.98],[-0.07  0.28],"[[-0.   -0.01]
 [-0.01 -0.01]]","[[ 0.09 -0.05]
 [ 0.   -0.03]]","[[ 0.01  0.  ]
 [-0.    0.  ]]","[[ 0.32  0.3 ]
 [ 0.08 -0.22]]","[[-0.    0.01]
 [ 0.01  0.  ]]",,
,,[ 0.13 -0.2 ],"[[-0.01  0.01]
 [-0.01 -0.01]]",[0.72 0.71],"[[0.02 0.02]
 [0.04 0.02]]",[ 1. -1.],[-0.97  0.82],[-0.   -0.16],[ 0.85 -0.98],[-0.22  0.31],"[[ 0.   -0.01]
 [ 0.01  0.  ]]","[[-0.02  0.05]
 [-0.01  0.  ]]","[[ 0.01 -0.  ]
 [ 0.01 -0.  ]]","[[-0.05  0.01]
 [-0.08 -0.06]]","[[-0.    0.01]
 [ 0.   -0.  ]]",,
,,[ 0.02 -0.24],"[[-0.04  0.02]
 [-0.01  0.01]]",[0.7 0.7],"[[0.09 0.04]
 [0.03 0.04]]",[ 0.78 -1.  ],[-0.96  0.8 ],[-0.18 -0.23],[ 0.86 -0.98],[-0.37  0.23],"[[ 0.    0.  ]
 [ 0.   -0.01]]","[[ 0.02  0.  ]
 [ 0.02 -0.  ]]","[[-0. -0.]
 [ 0. -0.]]","[[-0.21  0.1 ]
 [-0.06  0.09]]","[[0.   0.  ]
 [0.01 0.  ]]",,
,,[ 0.18 -0.2 ],"[[ 0.02 -0.  ]
 [ 0.    0.02]]",[0.71 0.72],"[[0.06 0.03]
 [0.06 0.02]]",[ 1. -1.],[-0.98  0.85],[ 0.12 -0.16],[ 0.84 -0.98],[-0.09  0.28],"[[-0.    0.01]
 [-0.    0.01]]","[[-0.04 -0.05]
 [-0.09  0.04]]","[[-0.  0.]
 [-0.  0.]]","[[0.14 0.04]
 [0.1  0.05]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.16 -0.21],"[[-0.    0.  ]
 [-0.    0.06]]",[0.71 0.71],"[[0.02 0.01]
 [0.01 0.11]]",[ 1. -1.],[-0.97  0.84],[ 0.09 -0.16],[ 0.83 -0.98],[-0.16  0.28],"[[ 0.    0.01]
 [-0.01 -0.01]]","[[-0.05 -0.02]
 [ 0.    0.06]]","[[ 0.   -0.01]
 [-0.   -0.02]]","[[ 0.02  0.02]
 [-0.03  0.26]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]",,
,,[-0.02 -0.24],"[[-0.01 -0.06]
 [ 0.02 -0.02]]",[0.7 0.7],"[[0.02 0.08]
 [0.03 0.05]]",[ 0.69 -1.  ],[-0.97  0.83],[-0.27 -0.25],[ 0.87 -0.98],[-0.44  0.21],"[[ 0.   -0.01]
 [ 0.01 -0.01]]","[[-0.02 -0.06]
 [-0.01  0.04]]","[[ 0.01 -0.01]
 [ 0.01 -0.01]]","[[-0.05 -0.22]
 [ 0.08 -0.11]]","[[-0.   -0.01]
 [-0.    0.01]]",,
,,[ 0.11 -0.21],"[[-0.01  0.  ]
 [-0.    0.06]]",[0.73 0.71],"[[0.02 0.02]
 [0.06 0.1 ]]",[ 1. -1.],[-0.96  0.81],[-0.08 -0.17],[ 0.85 -0.98],[-0.26  0.28],"[[ 0.  0.]
 [-0. -0.]]","[[-0.04  0.04]
 [ 0.09  0.06]]","[[-0.    0.  ]
 [-0.01  0.  ]]","[[-0.01 -0.04]
 [-0.09  0.25]]","[[-0.  0.]
 [ 0.  0.]]",,
,,[-0.09 -0.26],"[[ 0.03 -0.07]
 [ 0.01 -0.03]]",[0.72 0.7 ],"[[0.04 0.08]
 [0.04 0.06]]",[ 0.58 -1.  ],[-0.97  0.82],[-0.39 -0.28],[ 0.93 -0.99],[-0.6   0.17],"[[ 0.01 -0.  ]
 [ 0.   -0.01]]","[[ 0.07 -0.11]
 [ 0.09 -0.15]]","[[ 0.   -0.  ]
 [ 0.01  0.  ]]","[[ 0.09 -0.21]
 [-0.05 -0.01]]","[[-0.  0.]
 [ 0.  0.]]",,
,,[ 0.19 -0.19],"[[-0.    0.01]
 [ 0.06 -0.  ]]",[0.71 0.73],"[[0.   0.01]
 [0.09 0.03]]",[ 1. -1.],[-0.98  0.88],[ 0.13 -0.16],[ 0.84 -0.98],[-0.06  0.29],"[[-0.01  0.01]
 [-0.01  0.01]]","[[0.01 0.03]
 [0.07 0.03]]","[[-0.    0.  ]
 [ 0.01 -0.  ]]","[[-0.    0.03]
 [ 0.22 -0.06]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[-0.05 -0.21],"[[-0.02  0.03]
 [-0.02 -0.03]]",[0.72 0.73],"[[0.1  0.05]
 [0.02 0.08]]",[ 0.66 -1.  ],[-0.99  0.93],[-0.32 -0.18],[ 0.9  -0.99],[-0.49  0.2 ],"[[-0.    0.  ]
 [-0.   -0.01]]","[[-0.2   0.01]
 [-0.05  0.05]]","[[ 0.    0.01]
 [-0.    0.  ]]","[[ 0.11  0.13]
 [-0.04 -0.19]]","[[0. 0.]
 [0. 0.]]",,
,,[-0.01 -0.24],"[[-0.03  0.01]
 [ 0.01 -0.03]]",[0.7 0.7],"[[0.05 0.05]
 [0.08 0.04]]",[ 0.72 -1.  ],[-0.96  0.8 ],[-0.24 -0.24],[ 0.87 -0.98],[-0.43  0.21],"[[-0.  0.]
 [-0. -0.]]","[[-0.13  0.11]
 [ 0.16 -0.11]]","[[-0.   -0.01]
 [ 0.01  0.  ]]","[[ 0.01 -0.05]
 [-0.08 -0.01]]","[[ 0.    0.  ]
 [-0.01 -0.01]]",,
,,[ 0.11 -0.21],"[[-0.02 -0.01]
 [ 0.01  0.01]]",[0.74 0.73],"[[0.02 0.02]
 [0.03 0.04]]",[ 1. -1.],[-0.98  0.89],[-0.09 -0.21],[ 0.88 -0.99],[-0.23  0.25],"[[ 0.01  0.01]
 [-0.   -0.01]]","[[-0.06 -0.03]
 [-0.01 -0.01]]","[[-0.    0.  ]
 [-0.01 -0.  ]]","[[-0.03 -0.05]
 [ 0.07  0.08]]","[[-0.  0.]
 [ 0.  0.]]",,
,,[ 0.02 -0.22],"[[-0.02  0.02]
 [-0.01 -0.01]]",[0.7  0.71],"[[0.03 0.07]
 [0.01 0.07]]",[ 0.77 -1.  ],[-0.97  0.83],[-0.18 -0.18],[ 0.87 -0.98],[-0.37  0.23],"[[ 0.  0.]
 [-0. -0.]]","[[-0.02  0.15]
 [ 0.01  0.07]]","[[-0.01 -0.01]
 [-0.01 -0.  ]]","[[-0.07 -0.04]
 [-0.03 -0.14]]","[[ 0.  0.]
 [-0. -0.]]",,
,,[-0.24 -0.26],"[[ 0.01 -0.03]
 [-0.    0.  ]]",[0.73 0.72],"[[0.01 0.1 ]
 [0.01 0.02]]",[ 0.3 -1. ],[-0.99  0.93],[-0.58 -0.33],[ 0.93 -0.99],[-0.83  0.08],"[[-0.   -0.01]
 [-0.    0.  ]]","[[ 0.03  0.09]
 [-0.02  0.04]]","[[ 0.   -0.  ]
 [ 0.01 -0.01]]","[[ 0.01 -0.22]
 [ 0.   -0.03]]","[[0. 0.]
 [0. 0.]]",,
,,[ 0.19 -0.19],"[[ 0.01  0.03]
 [-0.01 -0.01]]",[0.71 0.73],"[[0.02 0.07]
 [0.04 0.02]]",[ 1. -1.],[-0.99  0.89],[ 0.13 -0.16],[ 0.86 -0.98],[-0.03  0.29],"[[-0.    0.01]
 [-0.01  0.01]]","[[ 0.04 -0.  ]
 [-0.09 -0.04]]","[[ 0.01 -0.  ]
 [ 0.    0.01]]","[[-0.02  0.17]
 [ 0.04 -0.03]]","[[ 0.   -0.  ]
 [ 0.    0.01]]",,
,,[ 0.18 -0.2 ],"[[-0.   -0.01]
 [-0.03 -0.03]]",[0.72 0.72],"[[0.01 0.08]
 [0.04 0.04]]",[ 1. -1.],[-0.98  0.85],[ 0.11 -0.16],[ 0.87 -0.98],[-0.12  0.27],"[[-0.01  0.  ]
 [-0.    0.  ]]","[[ 0.02  0.09]
 [-0.04 -0.05]]","[[-0.    0.01]
 [-0.    0.  ]]","[[-0.01 -0.16]
 [-0.11 -0.09]]","[[ 0.    0.  ]
 [-0.01 -0.01]]",,
,,[-0.04 -0.24],"[[-0.01 -0.01]
 [-0.02  0.01]]",[0.71 0.7 ],"[[0.05 0.01]
 [0.02 0.03]]",[ 0.66 -1.  ],[-0.97  0.82],[-0.3  -0.26],[ 0.91 -0.99],[-0.49  0.2 ],"[[-0.  0.]
 [-0. -0.]]","[[ 0.06 -0.03]
 [-0.03  0.01]]","[[-0.01 -0.01]
 [-0.01 -0.  ]]","[[-0.1  -0.02]
 [-0.06  0.07]]","[[-0.01  0.  ]
 [-0.   -0.  ]]",,
,,[-0.01 -0.24],"[[ 0.06  0.01]
 [-0.02  0.01]]",[0.71 0.7 ],"[[0.07 0.09]
 [0.07 0.05]]",[ 0.72 -1.  ],[-0.97  0.82],[-0.25 -0.24],[ 0.89 -0.99],[-0.44  0.21],"[[ 0.    0.  ]
 [-0.    0.01]]","[[ 0.16  0.15]
 [ 0.07 -0.05]]","[[-0.   -0.  ]
 [-0.01 -0.  ]]","[[ 0.14 -0.12]
 [-0.16  0.1 ]]","[[0.01 0.01]
 [0.   0.  ]]",,
,,[-0.07 -0.25],"[[-0.01 -0.02]
 [ 0.    0.01]]",[0.72 0.7 ],"[[0.03 0.04]
 [0.03 0.04]]",[ 0.61 -1.  ],[-0.97  0.82],[-0.36 -0.27],[ 0.93 -0.99],[-0.56  0.18],"[[-0.    0.  ]
 [-0.01 -0.01]]","[[ 0.02 -0.03]
 [-0.03  0.07]]","[[ 0.    0.01]
 [-0.    0.01]]","[[-0.05 -0.1 ]
 [ 0.05 -0.04]]","[[-0.  0.]
 [-0.  0.]]",,
,,[ 0.15 -0.19],"[[ 0.08 -0.  ]
 [ 0.02  0.  ]]",[0.73 0.73],"[[0.16 0.02]
 [0.03 0.03]]",[ 1. -1.],[-0.98  0.87],[ 0.02 -0.11],[ 0.89 -0.99],[-0.17  0.3 ],"[[-0.01  0.  ]
 [-0.    0.01]]","[[0.04 0.04]
 [0.02 0.05]]","[[-0.01  0.  ]
 [ 0.02 -0.  ]]","[[ 0.39 -0.04]
 [ 0.09 -0.04]]","[[ 0. -0.]
 [ 0.  0.]]",,
,,[ 0.11 -0.21],"[[ 0.02  0.01]
 [-0.    0.02]]",[0.73 0.71],"[[0.04 0.02]
 [0.01 0.03]]",[ 1. -1.],[-0.97  0.81],[-0.09 -0.15],[ 0.86 -0.98],[-0.27  0.27],"[[ 0.   -0.  ]
 [-0.01 -0.  ]]","[[ 0.02  0.02]
 [-0.01  0.08]]","[[ 0.  0.]
 [ 0. -0.]]","[[ 0.09  0.05]
 [-0.01  0.02]]","[[-0. -0.]
 [ 0.  0.]]",,
,,[-0.17 -0.26],"[[-0.03 -0.04]
 [-0.05 -0.01]]",[0.73 0.71],"[[0.07 0.05]
 [0.09 0.01]]",[ 0.43 -1.  ],[-0.98  0.87],[-0.5  -0.31],[ 0.93 -0.99],[-0.73  0.13],"[[ 0.01  0.  ]
 [ 0.   -0.02]]","[[ 0.   -0.08]
 [-0.03 -0.01]]","[[-0.01 -0.01]
 [ 0.01 -0.02]]","[[-0.17 -0.13]
 [-0.23  0.  ]]","[[ 0.  0.]
 [-0.  0.]]",,
,,[-0.21 -0.25],"[[ 0.    0.02]
 [ 0.01 -0.03]]",[0.73 0.73],"[[0.03 0.08]
 [0.02 0.07]]",[ 0.35 -1.  ],[-1.    0.95],[-0.55 -0.32],[ 0.92 -0.99],[-0.79  0.1 ],"[[-0.01 -0.  ]
 [ 0.    0.02]]","[[-0.04  0.17]
 [-0.01  0.03]]","[[-0. -0.]
 [ 0.  0.]]","[[ 0.06 -0.07]
 [ 0.05 -0.16]]","[[ 0.   -0.01]
 [ 0.   -0.02]]",,
,,[ 0.13 -0.19],"[[-0.05  0.02]
 [ 0.   -0.03]]",[0.73 0.72],"[[0.08 0.05]
 [0.06 0.05]]",[ 1. -1.],[-0.97  0.84],[-0.03 -0.12],[ 0.87 -0.98],[-0.22  0.31],"[[-0.01  0.01]
 [-0.   -0.01]]","[[-0.21  0.12]
 [-0.08 -0.02]]","[[ 0.   -0.  ]
 [-0.   -0.01]]","[[-0.02 -0.01]
 [ 0.11 -0.12]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.19 -0.19],"[[ 0.02  0.04]
 [-0.04  0.01]]",[0.71 0.74],"[[0.03 0.05]
 [0.05 0.02]]",[ 1. -1.],[-0.99  0.91],[ 0.13 -0.16],[ 0.85 -0.98],[-0.03  0.29],"[[-0.    0.01]
 [-0.01 -0.01]]","[[ 0.01  0.06]
 [-0.1   0.06]]","[[0.01 0.  ]
 [0.01 0.  ]]","[[ 0.09  0.13]
 [-0.09  0.  ]]","[[ 0.01  0.  ]
 [-0.    0.01]]",,
,,[-0.25 -0.26],"[[-0.    0.05]
 [-0.    0.  ]]",[0.73 0.73],"[[0.02 0.06]
 [0.03 0.03]]",[ 0.26 -1.  ],[-1.    0.96],[-0.61 -0.34],[ 0.93 -0.99],[-0.86  0.07],"[[ 0.01 -0.  ]
 [ 0.02  0.  ]]","[[ 0.03  0.08]
 [ 0.04 -0.04]]","[[ 0.  0.]
 [-0. -0.]]","[[-0.04  0.15]
 [-0.06  0.04]]","[[-0.   -0.01]
 [ 0.01  0.01]]",,
,,[ 0.06 -0.23],"[[ 0.    0.05]
 [-0.03  0.  ]]",[0.7 0.7],"[[0.08 0.11]
 [0.07 0.02]]",[ 0.84 -1.  ],[-0.96  0.8 ],[-0.11 -0.19],[ 0.85 -0.98],[-0.31  0.24],"[[ 0.   -0.  ]
 [-0.01  0.  ]]","[[-0.12 -0.04]
 [ 0.04  0.04]]","[[-0.    0.01]
 [-0.01 -0.  ]]","[[ 0.13  0.27]
 [-0.17 -0.02]]","[[-0. -0.]
 [ 0. -0.]]",,
,,[ 0.19 -0.2 ],"[[0.03 0.02]
 [0.   0.01]]",[0.71 0.73],"[[0.03 0.04]
 [0.01 0.01]]",[ 1. -1.],[-0.98  0.87],[ 0.13 -0.16],[ 0.86 -0.98],[-0.07  0.28],"[[ 0.01 -0.  ]
 [-0.02  0.01]]","[[ 0.05  0.02]
 [ 0.   -0.01]]","[[0.   0.  ]
 [0.02 0.  ]]","[[ 0.08  0.09]
 [-0.    0.03]]","[[-0. -0.]
 [ 0. -0.]]",,
,,[ 0.13 -0.18],"[[ 0.08  0.01]
 [-0.03  0.  ]]",[0.74 0.73],"[[0.14 0.02]
 [0.05 0.01]]",[ 1. -1.],[-0.98  0.88],[-0.04 -0.11],[ 0.89 -0.99],[-0.23  0.3 ],"[[ 0.01 -0.  ]
 [-0.01  0.01]]","[[ 0.02  0.04]
 [-0.   -0.  ]]","[[-0. -0.]
 [-0. -0.]]","[[ 0.36 -0.  ]
 [-0.13  0.01]]","[[ 0.   -0.  ]
 [ 0.   -0.01]]",,
,,[-0.01 -0.23],"[[ 0.    0.01]
 [-0.03 -0.03]]",[0.73 0.72],"[[0.04 0.09]
 [0.03 0.07]]",[ 0.74 -1.  ],[-0.98  0.89],[-0.27 -0.25],[ 0.93 -0.99],[-0.46  0.21],"[[-0.01 -0.01]
 [-0.02 -0.01]]","[[ 0.08  0.16]
 [-0.08 -0.16]]","[[-0.  0.]
 [-0. -0.]]","[[-0.05 -0.11]
 [-0.02  0.01]]","[[ 0.01  0.  ]
 [-0.01  0.01]]",,
,,[-0.1  -0.26],"[[ 0.02 -0.02]
 [-0.03 -0.01]]",[0.72 0.7 ],"[[0.04 0.07]
 [0.04 0.05]]",[ 0.55 -1.  ],[-0.97  0.83],[-0.41 -0.28],[ 0.91 -0.99],[-0.62  0.17],"[[-0.    0.  ]
 [-0.01  0.01]]","[[ 0.02  0.06]
 [-0.05  0.05]]","[[ 0. -0.]
 [ 0.  0.]]","[[ 0.09 -0.16]
 [-0.09 -0.1 ]]","[[-0.  0.]
 [-0.  0.]]",,
,,[-0.05 -0.23],"[[ 0.02 -0.  ]
 [ 0.01  0.  ]]",[0.71 0.72],"[[0.04 0.05]
 [0.05 0.03]]",[ 0.64 -1.  ],[-0.99  0.9 ],[-0.32 -0.24],[ 0.89 -0.99],[-0.49  0.2 ],"[[ 0.   -0.  ]
 [ 0.    0.01]]","[[ 0.02  0.07]
 [-0.04 -0.05]]","[[-0.01  0.  ]
 [-0.01  0.  ]]","[[ 0.09 -0.09]
 [ 0.09  0.06]]","[[-0.  0.]
 [-0.  0.]]",,
,,[-0.12 -0.25],"[[ 0.04 -0.02]
 [-0.04  0.  ]]",[0.72 0.71],"[[0.07 0.02]
 [0.05 0.01]]",[ 0.53 -1.  ],[-0.98  0.85],[-0.43 -0.29],[ 0.91 -0.99],[-0.64  0.16],"[[-0.   -0.  ]
 [ 0.    0.01]]","[[ 0.03 -0.05]
 [-0.05  0.  ]]","[[-0.01 -0.01]
 [ 0.    0.02]]","[[ 0.18 -0.05]
 [-0.14 -0.01]]","[[ 0.  0.]
 [ 0. -0.]]",,
,,[-0.03 -0.2 ],"[[-0.02  0.04]
 [-0.01 -0.  ]]",[0.72 0.74],"[[0.03 0.08]
 [0.1  0.01]]",[ 0.69 -1.  ],[-0.99  0.93],[-0.28 -0.15],[ 0.9  -0.99],[-0.47  0.21],"[[ 0.   -0.  ]
 [ 0.01 -0.  ]]","[[-0.05  0.19]
 [ 0.14  0.01]]","[[ 0.   -0.01]
 [-0.   -0.  ]]","[[-0.06  0.03]
 [-0.17 -0.01]]","[[-0.    0.  ]
 [-0.01 -0.01]]",,
,,[-0.02 -0.23],"[[ 0.01 -0.06]
 [ 0.   -0.03]]",[0.7  0.72],"[[0.03 0.08]
 [0.01 0.06]]",[ 0.69 -1.  ],[-0.98  0.87],[-0.27 -0.23],[ 0.88 -0.98],[-0.44  0.21],"[[-0.01 -0.  ]
 [-0.   -0.  ]]","[[ 0.   -0.15]
 [-0.01 -0.02]]","[[0.   0.  ]
 [0.01 0.  ]]","[[ 0.07 -0.15]
 [ 0.02 -0.15]]","[[-0.01  0.01]
 [-0.01  0.  ]]",,
,,[-0.12 -0.26],"[[-0.02 -0.04]
 [-0.01 -0.04]]",[0.72 0.7 ],"[[0.02 0.09]
 [0.02 0.08]]",[ 0.53 -1.  ],[-0.97  0.84],[-0.43 -0.29],[ 0.92 -0.99],[-0.65  0.16],"[[-0.01 -0.  ]
 [ 0.01  0.02]]","[[-0.05  0.02]
 [-0.05 -0.04]]","[[-0.   -0.  ]
 [ 0.01  0.01]]","[[-0.02 -0.21]
 [-0.01 -0.2 ]]","[[-0. -0.]
 [-0. -0.]]",,
,,[ 0.02 -0.23],"[[ 0.02  0.02]
 [-0.03  0.02]]",[0.7 0.7],"[[0.04 0.02]
 [0.09 0.03]]",[ 0.76 -1.  ],[-0.97  0.83],[-0.19 -0.2 ],[ 0.86 -0.98],[-0.37  0.23],"[[-0. -0.]
 [ 0.  0.]]","[[ 0.11  0.03]
 [-0.21  0.06]]","[[-0.  0.]
 [ 0. -0.]]","[[0.   0.05]
 [0.05 0.03]]","[[-0.    0.  ]
 [-0.   -0.01]]",,
,,[-0.1  -0.24],"[[ 0.01 -0.03]
 [-0.01 -0.  ]]",[0.71 0.71],"[[0.05 0.1 ]
 [0.03 0.01]]",[ 0.57 -1.  ],[-0.98  0.87],[-0.39 -0.28],[ 0.89 -0.99],[-0.59  0.17],"[[-0.    0.  ]
 [ 0.   -0.01]]","[[-0.04  0.06]
 [ 0.01  0.  ]]","[[0.   0.  ]
 [0.01 0.  ]]","[[ 0.1  -0.23]
 [-0.06  0.01]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.02 -0.21],"[[ 0.    0.02]
 [-0.01  0.03]]",[0.7  0.72],"[[0.07 0.03]
 [0.01 0.02]]",[ 0.76 -1.  ],[-0.98  0.87],[-0.19 -0.15],[ 0.88 -0.98],[-0.38  0.22],"[[ 0.01 -0.  ]
 [ 0.01  0.01]]","[[-0.1   0.06]
 [-0.02  0.05]]","[[ 0.    0.  ]
 [-0.01  0.02]]","[[ 0.11  0.06]
 [-0.02  0.04]]","[[-0.   -0.  ]
 [-0.    0.01]]",,
,,[-0.11 -0.22],"[[-0.02  0.01]
 [ 0.01 -0.02]]",[0.73 0.74],"[[0.02 0.02]
 [0.04 0.04]]",[ 0.59 -1.  ],[-0.99  0.94],[-0.41 -0.24],[ 0.91 -0.99],[-0.62  0.17],"[[ 0.   -0.01]
 [-0.01  0.  ]]","[[-0.05  0.04]
 [-0.04  0.  ]]","[[-0.01 -0.  ]
 [-0.01 -0.01]]","[[-0.04  0.01]
 [ 0.08 -0.1 ]]","[[ 0.01  0.  ]
 [ 0.01 -0.  ]]",,
,,[-0.21 -0.25],"[[ 0.   -0.02]
 [-0.   -0.04]]",[0.73 0.73],"[[0.   0.04]
 [0.02 0.04]]",[ 0.35 -1.  ],[-0.99  0.94],[-0.54 -0.32],[ 0.92 -0.99],[-0.79  0.11],"[[ 0.   -0.01]
 [-0.01  0.01]]","[[ 0.   -0.03]
 [ 0.03 -0.06]]","[[-0.01  0.02]
 [-0.02 -0.01]]","[[ 0.01 -0.09]
 [-0.01 -0.11]]","[[ 0.    0.  ]
 [-0.   -0.01]]",,
,,[ 0.03 -0.23],"[[ 0.01  0.  ]
 [ 0.03 -0.02]]",[0.72 0.72],"[[0.07 0.06]
 [0.05 0.04]]",[ 0.8 -1. ],[-0.98  0.87],[-0.2  -0.23],[ 0.9  -0.99],[-0.38  0.22],"[[ 0.    0.  ]
 [-0.01 -0.  ]]","[[ 0.15 -0.09]
 [ 0.04 -0.09]]","[[-0.   -0.01]
 [ 0.   -0.  ]]","[[-0.09  0.11]
 [ 0.13  0.  ]]","[[-0.   -0.  ]
 [ 0.01 -0.01]]",,
,,[ 0.11 -0.21],"[[-0.01 -0.01]
 [ 0.   -0.04]]",[0.73 0.72],"[[0.02 0.09]
 [0.03 0.06]]",[ 1. -1.],[-0.98  0.85],[-0.06 -0.2 ],[ 0.85 -0.98],[-0.25  0.29],"[[ 0.01  0.01]
 [-0.   -0.01]]","[[ 0.01  0.1 ]
 [ 0.05 -0.02]]","[[ 0.01 -0.  ]
 [ 0.01 -0.01]]","[[-0.05 -0.18]
 [-0.05 -0.16]]","[[-0.   -0.  ]
 [ 0.01  0.  ]]",,
,,[ 0.14 -0.19],"[[-0.01 -0.  ]
 [ 0.04 -0.01]]",[0.73 0.73],"[[0.01 0.01]
 [0.08 0.05]]",[ 1. -1.],[-0.98  0.87],[-0.01 -0.11],[ 0.88 -0.99],[-0.19  0.3 ],"[[-0.01 -0.01]
 [ 0.01 -0.  ]]","[[-0.01 -0.02]
 [ 0.01  0.04]]","[[-0.    0.01]
 [ 0.01  0.01]]","[[-0.04  0.01]
 [ 0.2  -0.1 ]]","[[-0.   -0.  ]
 [-0.01 -0.  ]]",,
